NIDID,Dam_Name,Insp_Date,Submit_Date,River,City_02,County,State,Cong_Dist,Cong_Rep,Party,Owner_Type,Owner_Name,Year_Comp,Year_Mod,Private_Dam,NPDP_Hazard,Permit_Auth,Insp_Auth,Enfrc_Auth,Juris_Dam,NID_Height,NID_Storage,Dam_Length,Max_Discharge,Drain_Area,Dam_Designer,EAP,Insp_Freq,St_Reg_Dam,St_Reg_Agncy,Volume,Fed_Fund,Fed_Design,Fed_Con,Fed_Reg,Fed_Insp,Srce_Agncy,Oth_StrucID,Num_Struc,Longitude,Latitude
VA16901,BARK CAMP DAM,2004-12-31,2013-03-12,LITTLE STONY CREEK,DUNGANNON,SCOTT,VA,VA09,H. MORGAN GRIFFITH (R),R,STATE,VA DEPARTMENT OF GAME & INLAND FISHERIES,1957,,Y,LOW,Y,Y,Y,Y,35,1000,650,,3.95,PERROW & BROCKENBROUGH,Y,0,Y,DCR,,,,,,,VA,,0,-82.5166,36.8666
VA11306,BEAUTIFUL RUN DAM #7,2010-04-15,2013-03-12,TR-BEAUTIFUL RUN,MADISON MILLS,MADISON,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,CULPEPER SWCD,1969,,N,LOW,Y,Y,Y,Y,26,133,600,483,0.75,USDA NRCS,Y,0,Y,DCR,26450,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.225,38.2833
VA00329,BISHOPS DAM,,2013-03-12,TRIB. PREDDY CREEK GREENE CO.,CHARLOTTSVILLE,ALBEMARLE,VA,VA05,ROBERT HURT (R),R,PRIVATE,W. E. BISHOP,1962,,N,LOW,Y,Y,Y,Y,33,161,350,,,,NR,0,Y,DCR,,,,,,,VA,,0,-78.3873,38.1906
VA83016,BRASFIELD (APPOMATTOX),2012-07-26,2013-02-28,APPOMATTOX RIVER,PETERSBURG,"CHESTERFIELD, DINWIDDIE",VA,VA04,J. RANDY FORBES (R),R,PRIVATE,"APPOMATTOX RIVER ASSOCIATES, LP",1968,,N,HIGH,N,N,N,N,73,35354,1250,100000,1335,,Y,1,N,,,,,,FERC,FERC,FERC,,1,-77.525,37.2206
VA14701,BUFFALO CREEK DAM #1,2011-03-08,2013-03-12,FALLING CREEK,FARMVILLE,PRINCE EDWARD,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,PIEDMONT SWCD,1966,,N,LOW,Y,Y,Y,Y,39,2537,750,7020,7.09,USDA NRCS,Y,0,Y,DCR,51360,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.5566,37.2833
DE00058,COLLINS POND DAM,2011-04-29,2013-02-04,GRAVELLY BRANCH,SEAFORD  SW,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT,1965,,N,LOW,Y,Y,Y,Y,10.98,1430,600,1713,31.48,,N,2,Y,DNREC,,,,,,,DE,,0,-75.5213,38.7084
VA12708,FERN DAM,,2013-03-12,TRIB. MILL CREEK,WEST POINT,NEW KENT,VA,VA07,ERIC CANTOR (R),R,PRIVATE,GRANT CENTERS,1966,,N,,Y,Y,Y,Y,24,218,300,,,,NR,0,Y,DCR,16240,,USDA NRCS,,,,VA,,0,-76.8966,37.51
MD00038,GILBERT RUN DAM 3 (JAMESON DAM),2012-08-01,2013-02-04,GILBERT RUN,NEWPORT,CHARLES,MD,MD05,STENY H. HOYER (D),D,LOCAL GOVERNMENT,GILBERT RUN WATERSHED ASSOC,1964,1964,N,HIGH,Y,Y,Y,Y,37,2900,950,8900,4.3,USDA NRCS,Y,1,Y,MD DAM SAFETY,113000,USDA NRCS,USDA NRCS,USDA NRCS,,USDA NRCS,MD,,0,-76.8055,38.5107
VA04716,HAWKINS DAM,,2013-03-12,TR-BROOK RUN,GERMANNA BRIDGE,CULPEPER,VA,VA07,ERIC CANTOR (R),R,PRIVATE,W. STANLEY HAWKINS,1955,,N,LOW,Y,Y,Y,Y,22,110,220,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.86,38.4066
VA07303,HAYNES DAM,,2013-03-12,CARTER CREEK,GLOUCESTER POINT,GLOUCESTER,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,J. W. HAYNES,1900,,N,LOW,Y,Y,Y,Y,15,275,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-76.5501,37.3506
VA06130,HICKORY TREE FARM DAM,,2013-03-12,BURNT MILL RUN,ALDIE,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,"BURNT MILL FARM, INC.",1975,,N,,Y,Y,Y,Y,30,98,350,2700,,,NR,0,Y,DCR,37200,,USDA NRCS,,,,VA,,0,-77.75,38.9366
VA00359,HOLSTRUM DAM,,2013-03-12,THOMAS CREEK,SCOTTSVILLE,ALBEMARLE,VA,VA07,ERIC CANTOR (R),R,PRIVATE,PLAIN DALING LAND TRUST,1970,,N,LOW,Y,Y,Y,Y,22,154,450,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.5338,37.8655
VA03312,JAMES DAM,,2013-03-12,TR-NORTH ANNA RIVER,HEWLETT,CAROLINE,VA,VA07,ERIC CANTOR (R),R,PRIVATE,LOUIS PEDEMONTE,1972,,N,LOW,Y,Y,Y,Y,22.5,165,500,,,,N,0,Y,DCR,,,,,,,VA,,0,-77.6401,37.9943
VA03107,LAKE SHALOM DAM,2012-03-23,2013-03-12,TR-LITTLE FALLING RIVER,BROOKNEAL,CAMPBELL,VA,VA05,ROBERT HURT (R),R,PRIVATE,PRESBYTERY OF THE PEAKS,1962,,N,LOW,Y,Y,Y,Y,36.39,150,302,2766,0.37,,Y,0,Y,DCR,21919,,USDA NRCS,,,,VA,,0,-78.9316,37.1191
VA14301,LEESVILLE,2012-04-11,2013-02-28,ROANOKE RIVER,LEESVILLE,"CAMPBELL, PITTSYLVANIA",VA,VA05,ROBERT HURT (R),R,PUBLIC UTILITY,APPALACHIAN POWER COMPANY,1963,,N,HIGH,N,N,N,N,90,94960,980,162000,1505,,Y,1,N,DCR,,,,,FERC,FERC,FERC,,1,-79.4025,37.0928
VA04915,LEON HANSEN DAM,1993-05-14,2013-03-12,HOPPER ROCK CREEK,CARTERSVILLE,CUMBERLAND,VA,VA05,ROBERT HURT (R),R,PRIVATE,LEON C. HANSON,1977,,N,LOW,Y,Y,Y,Y,35,465,330,,2.2,,Y,0,Y,DCR,,,,,,,VA,,0,-78.1516,37.74
VA00362,LIBERTY CORNER FARM DAM (3),,2013-03-12,TRIB.   ROCK CASTLE CREEK,SCOTTSVILLE,ALBEMARLE,VA,VA05,ROBERT HURT (R),R,PRIVATE,LIBETY CORNER FARM LLC,1950,,N,LOW,Y,Y,Y,Y,27,242,350,,,,NR,0,Y,DCR,,,,,,,VA,,0,-78.5716,37.803
MD00035,LITTLE DEER CREEK SITE 2A (MCKNIGHT/RUTLEDGE),2009-11-05,2013-02-04,TR-LITTLE DEER CREEK,ROCKS STATE PARK,HARFORD,MD,MD01,ANDY HARRIS (R),R,PRIVATE,H TURNEY MCKNIGHT,1962,1962,N,SIGNIFICANT,Y,Y,Y,Y,44,523,470,2890,1.5,USDA NRCS,Y,1,Y,MD DAM SAFETY,48000,USDA NRCS,USDA NRCS,USDA NRCS,,USDA NRCS,MD,,0,-76.5275,39.6404
MD00040,LITTLE DEER CREEK SITE 3,2009-11-05,2013-02-04,TR-LITTLE DEER CREEK,ROCKS STATE PARK,HARFORD,MD,MD01,ANDY HARRIS (R),R,LOCAL GOVERNMENT,USDA SOIL CONSERVATION SERVICE,1962,1962,N,SIGNIFICANT,Y,Y,Y,Y,45,582,726,3200,1.6,USDA NRCS,Y,1,Y,MD DAM SAFETY,74000,USDA NRCS,USDA NRCS,USDA NRCS,,USDA NRCS,MD,,0,-76.5302,39.6282
VA10924,LITTLE RIVER DAM #1,2011-09-12,2013-03-12,LITTLE RIVER,BUCKNER,LOUISA,VA,VA07,ERIC CANTOR (R),R,LOCAL GOVERNMENT,THOMAS JEFFERSON SWCD,1976,,N,LOW,Y,Y,Y,Y,37,1534,550,2649,3.19,USDA NRCS,Y,0,Y,DCR,38780,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-77.8783,37.955
MD00160,MARYLAND EMERGENCY MANAGEMENT DAM,1993-05-13,2013-02-04,TR-NORTH BRANCH PATAPSCO RIVER,GLRN FALLS,BALTIMORE,MD,MD07,ELIJAH E. CUMMINGS (D),D,STATE,MD NATIONAL GUARD,1967,1967,N,LOW,Y,Y,Y,Y,33,108,290,151,0.4,USDA NRCS;KERSLAKE,NR,5,Y,MD DAM SAFETY,14660,,USDA NRCS,,,,MD,,0,-76.8458,39.4948
VA14509,MILL QUARTER LAKE DAM,2010-09-21,2013-03-12,NEDS CREEK,GENITO,POWHATAN,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,MILL QUARTER PROPERTY OWNERS INC.,1974,,N,LOW,Y,Y,Y,Y,36,2159,840,,2.75,,Y,0,Y,DCR,,,,,,,VA,,0,-77.915,37.4933
VA15501,OTTARI SCOUT CAMP DAM #2,2006-05-17,2013-03-12,LITTLE LAUREL CREEK,SNOWVILLE,PULASKI,VA,VA09,H. MORGAN GRIFFITH (R),R,PRIVATE,"B.S.A., BLUE RIDGE MOUNTAIN COUNCIL",1961,,N,SIGNIFICANT,Y,Y,Y,Y,46,274,250,350,3.2,,Y,0,Y,DCR,178000,,USDA NRCS,,,,VA,,0,-80.5783,36.9916
VA14306,PINE DAM,,2013-03-12,TR-SANDY RIVER,DANVILLE,PITTSYLVANIA,VA,VA05,ROBERT HURT (R),R,PRIVATE,MARK DISHMAN,1955,,N,SIGNIFICANT,Y,Y,Y,Y,22,159,500,,,J. ARCH RICH,N,0,Y,DCR,,,,,,,VA,,0,-79.5433,36.6216
MD00092,POOLESVILLE PUBLIC GOLF COURSE,2010-07-27,2013-02-04,TR-POTOMAC,SENECA,MONTGOMERY,MD,MD06,JOHN K. DELANEY (D),D,LOCAL GOVERNMENT,TOWN OF POOLESVILLE,1953,1953,N,LOW,Y,Y,Y,Y,25,136,495,220,0.7,BERNARD SIEGEL,NR,5,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.4179,39.1126
VA03711,ROANOKE CREEK DAM # 61A,2010-06-28,2013-03-12,HORSEPEN CREEK,RANDOLPH,CHARLOTTE,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,SOUTHSIDE SWCD,1963,,N,LOW,Y,Y,Y,Y,36.39,794,1029,2975,2.66,USDA NRCS,Y,0,Y,DCR,48870,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.57,36.9466
VA03708,ROANOKE CREEK DAM # 62,2010-06-28,2013-03-12,HORSEPEN CREEK,RANDOLPH,CHARLOTTE,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,SOUTHSIDE SWCD,1964,,N,LOW,Y,Y,Y,Y,45,3373,806,6070,10.9,USDA NRCS,Y,0,Y,DCR,86000,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.565,36.9416
VA04133,SPRAY DAM,,2013-03-12,TR-JAMES RIVER,COLONIAL HEIGHTS,CHESTERFIELD,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,"E.I. DUPONT DE NEMOURS & CO., INC.",1929,,N,LOW,Y,Y,Y,Y,23,104,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.4316,37.45
VA04132,SPRUANCE POLISHING DAM,2007-02-28,2013-03-12,TR-JAMES RIVER,COLONIAL HEIGHTS,CHESTERFIELD,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,"E.I. DUPONT DE NEMOURS & CO., INC.",1962,,N,LOW,Y,Y,Y,Y,28,171.5,2060,,0.25,UNKNOWN,Y,0,Y,DCR,,,,,,,VA,,0,-77.425,37.4433
VA06508,THOMAS DAM,,2013-03-12,TR-WOODSONS CREEK,SCOTTSVILLE,FLUVANNA,VA,VA05,ROBERT HURT (R),R,NOT LISTED,BOBBY L. ROADCAP,1967,,N,LOW,Y,Y,Y,Y,19,106,270,,,,NR,0,Y,DCR,,,,,,,VA,,0,-78.4083,37.82
VA14316,TUSCARORA COUNTRY CLUB DAM,,2013-03-08,TR- LITTLE SANDY CREEK,DANVILLE,PITTSYLVANIA,VA,VA05,ROBERT HURT (R),R,PRIVATE,TUSCARORA COUNTRY CLUB,1977,,N,,N,N,N,N,32,89,493,74,,,NR,0,N,,17710,,USDA NRCS,,,,USDA NRCS,,0,-79.429,36.6658
VA07913,TWIN LAKES DAM #1,2011-02-27,2013-03-12,DEEP RUN,ADVANCE MILLS,GREENE,VA,VA05,ROBERT HURT (R),R,PRIVATE,TWIN LAKES OWNERS ASSOCIATION,1978,,N,LOW,Y,Y,Y,Y,32,460,500,,1.72,UNKNOWN,Y,0,Y,DCR,,,,,,,VA,,0,-78.4333,38.2566
VA01506,UPPER NORTH RIVER #76,2011-10-12,2013-03-12,UPPER NORTH RIVER,STOKESVILLE,AUGUSTA,VA,VA06,BOB GOODLATTE (R),R,LOCAL GOVERNMENT,CITY OF STAUNTON,1965,,Y,HIGH,Y,Y,Y,Y,118,10500,824,40964,27.1,USDA NRCS,Y,0,Y,DCR,718000,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-79.22,38.3266
DE00095,WAPLES POND DAM,,2013-02-04,PRIMEHOOK CREEK,BROADKILL BEACH  E,SUSSEX,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT; DNREC DFW,,,N,SIGNIFICANT,N,N,N,N,9.66,930,910,700,15.25,,NR,0,N,,,,,,,,DE,,0,-75.3087,38.824
VA02902,WILLIS RIVER DAM #1B,2011-11-09,2013-03-12,TR-WILLIS RIVER,CURDSVILLE,BUCKINGHAM,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,PETER FRANCISCO SWCD,1975,,N,LOW,Y,Y,Y,Y,44,1204,300,917,4.63,USDA NRCS,Y,0,Y,DCR,28790,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.5333,37.4616
VA06129,WILLOW DAM,,2013-03-12,TR-BROAD RUN,HAYMARKET,FAUQUIER,VA,VA05,ROBERT HURT (R),R,PRIVATE,ANDREA B. CURRIER,1950,,N,LOW,Y,Y,Y,Y,24,71,660,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.755,38.8633
VA14101,TALBOTT,2012-02-28,2013-02-28,DAN RIVER,"MADISON, NC",PATRICK,VA,VA09,H. MORGAN GRIFFITH (R),R,LOCAL GOVERNMENT,"DANVILLE, CITY OF",1938,,N,HIGH,N,N,N,N,143.5,7540,510,8500,20,CHAS. T. MAIN,Y,1,N,DCR,,,,,FERC,FERC,FERC,,1,-80.3972,36.6781
VA14102,TOWNES,2012-02-28,2013-02-28,DAN RIVER,"MADISON, N.C.",PATRICK,VA,VA09,H. MORGAN GRIFFITH (R),R,LOCAL GOVERNMENT,"DANVILLE, CITY OF",1938,,N,HIGH,N,N,N,N,133,1400,575,15000,33,"CHAS T. MAIN, ENGINEERS",Y,1,N,DCR,,,,,FERC,FERC,FERC,,1,-80.4303,36.6856
VA18104,ADKINS DAM,,2013-03-12,JOHNCHECOHUNK CREEK,DENDRON,SURRY,VA,VA03,ROBERT C. ???BOBBY??? SCOTT (D),D,PRIVATE,E. M. ADKINS,1920,,N,LOW,Y,Y,Y,Y,14,72,,,,,NR,0,Y,DCR,,,,,,,VA,,0,-76.9933,37.1116
VA15313,ALDRED DAM,,2013-03-12,TR-CHESTNUT LICK,SUDLEY SPRINGS,PRINCE WILLIAM,VA,VA10,FRANK R. WOLF (R),R,PRIVATE,ALDRED,1973,,N,LOW,Y,Y,Y,Y,18,50,300,,,,NR,0,Y,DCR,,,,,,,VA,,0,-77.6516,38.8816
VA19511,BEAR CREEK DAM,2009-01-24,2013-03-12,TR-BEAR CREEK,RAMSEY,WISE,VA,VA09,H. MORGAN GRIFFITH (R),R,LOCAL GOVERNMENT,TOWN OF WISE,1964,,N,SIGNIFICANT,Y,Y,Y,Y,45,1155,550,,1.44,THOMPSON & LITTON,Y,0,Y,DCR,,,,,,,VA,,0,-82.5316,36.9683
VA11307,BEAUTIFUL RUN DAM #10,2010-04-15,2013-03-12,TR-BEAUTIFUL RUN,MADISON MILLS,MADISON,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,CULPEPER SWCD,1970,,N,LOW,Y,Y,Y,Y,28,89,150,388,0.55,USDA NRCS,Y,0,Y,DCR,12480,USDA NRCS,USDA NRCS,USDA NRCS,,,VA,,0,-78.225,38.2666
VA09303,BUTLERS DAM,,2013-03-12,WESTERN BRANCH,SUFFOLK,ISLE OF WIGHT,VA,VA04,J. RANDY FORBES (R),R,PRIVATE,"JOHN T. BUTLER, JR.",1966,,N,,Y,Y,Y,Y,21,240,440,539,,,NR,0,Y,DCR,10500,,USDA NRCS,,,,VA,,0,-76.655,36.875
VA03501,BYLLESBY,2012-05-16,2013-02-28,NEW RIVER,AUSTINVILLE,CARROLL,VA,VA09,H. MORGAN GRIFFITH (R),R,PUBLIC UTILITY,APPALACHIAN POWER COMPANY,1912,1993S,N,HIGH,N,N,N,N,63,2034,970,436000,1310,,Y,1,N,DCR,,,,,FERC,FERC,FERC,,1,-80.9336,36.7858
VA19102,CLEAR CREEK,2008-11-19,2013-02-27,CLEAR CREEK,BRISTOL,WASHINGTON,VA,VA09,H. MORGAN GRIFFITH (R),R,FEDERAL,TVA,1965,,N,HIGH,N,N,N,N,51,4660,670,10420,5.75,TVA,Y,5,N,DCR,163978,,TVA,TVA,TVA,TVA,TVA,,0,-82.118,36.665
VA06911,COVE DAM #2,2011-08-12,2013-03-12,TR-LAUREL RUN,GORE,FREDERICK,VA,VA10,FRANK R. WOLF (R),R,PRIVATE,ALEXANDER W. K. MCDOWELL,1974,,N,HIGH,Y,Y,Y,Y,42.6,309,500,,0.63,ALEXANDER W.K. MCDOWELL,Y,0,Y,DCR,,,,,,,VA,,0,-78.3666,39.2216
VA06905,COVE LAKE DAM #1,2011-08-12,2013-03-12,TR-LAUREL RUN,GORE,FREDERICK,VA,VA10,FRANK R. WOLF (R),R,PRIVATE,ALEXANDER W. K. MCDOWELL,1960,,N,HIGH,Y,Y,Y,Y,26.69,634,900,,0.7,R.M. BARTENSTEIN AND ASSOCIATES,Y,0,Y,DCR,,,,,,,VA,,0,-78.375,39.2183
VA03304,DELOS LAKE LOWER,2010-09-20,2013-02-27,PEUMANSEND CREEK,,CAROLINE,VA,VA01,ROBERT J. WITTMAN (R),R,FEDERAL,FORT A P HILL,1942,1982,N,LOW,Y,Y,Y,Y,15,352.32,315,769.9,5.07,ARMY,Y,5,Y,DCR,1830,DOD USA,DOD USA,DOD USA,DOD USA,DOD USA,DOD USA,,0,-77.2571,38.0931
VA00316,FOREST LAKES SUBDIV A,,2013-03-12,TR-POWELL CREEK,CHARLOTTESVILLE,ALBEMARLE,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,ALBEMARLE COUNTY,1972,,N,LOW,Y,Y,Y,Y,23.5,55,350,,,"JOHN GREENE (MOD, SEPARATED FROM ROAD)",N,0,Y,DCR,,,,,,,VA,,0,-78.4316,38.1216
VA07905,GREENE HILLS DAM,,2013-03-12,TR-CONWAY RIVER,US RT 29,GREENE,VA,VA05,ROBERT HURT (R),R,PRIVATE,"GREENE HILLS CLUB, INC.",1974,,N,LOW,Y,Y,Y,Y,21.8,64.5,200,,0.19,,NR,0,Y,DCR,,,,,,,VA,,0,-78.3966,38.275
VA11310,HABLUTZEL DAM,2012-07-05,2013-03-12,TR-ROBINSON RIVER,MADISON,MADISON,VA,VA05,ROBERT HURT (R),R,PRIVATE,THOMAS D. HALL,1966,,N,LOW,Y,Y,Y,Y,27.1,101,360,,0.9,USDA (NRCS) ASSISTANCE,Y,0,Y,DCR,,,,,,,VA,,0,-78.25,38.4783
VA17906,HIDDEN LAKE DAM,2011-11-01,2013-03-12,TR-AQUIA CREEK,QUANTICO MARINE BASE,STAFFORD,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,HIDDEN LAKE COMMUNITY ASSOCIATION,1952,,N,LOW,Y,Y,Y,Y,25.69,110,355,,0.67,CHARLES MITCHELL,Y,0,Y,DCR,,,,,,,VA,,0,-77.56,38.5133
VA00353,HOLLYMEAD DAM,2007-03-20,2013-03-12,,CHARLOTTESVILLE,ALBEMARLE,VA,VA05,ROBERT HURT (R),R,LOCAL GOVERNMENT,ALBEMARLE COUNTY,1974,,N,LOW,Y,Y,Y,Y,42.7,640,300,,1.5,HUFFMAN & ASSOCIATES,Y,0,Y,DCR,,,,,,,VA,,0,-78.4346,38.1166
VA03311,JILESMILLPOND DAM,,2013-03-12,TRIB. JACKS CREEK,GETHER,CAROLINE,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,"LOHR, STEVE AND ANN",1800,,N,SIGNIFICANT,Y,Y,Y,Y,23,286,,,,,N,0,Y,DCR,,,,,,,VA,,0,-77.2141,37.9901
DE00039,KILLEN POND DAM,,2013-02-04,MURDERKILL RIVER,FREDERICA  E,KENT,DE,DE00,JOHN C. CARNEY JR. (D),D,STATE,DELDOT; DNREC DPR,1969,,N,LOW,N,N,N,N,15.59,1005,800,1672,18.24,,NR,0,N,,,,,,,,DE,,0,-75.5295,38.9814
MD00073,LAKE ANITA LOUISE,2012-07-05,2013-02-04,TR-LINGANORE CREEK,FREDERICK JUNCTION,FREDERICK,MD,MD08,CHRIS VAN HOLLEN (D),D,PRIVATE,LAKE LINGANORE ASSOCIATION,1973,"2010,SH",N,LOW,Y,Y,Y,Y,40,90,600,109,0.2,LDE ENGINEERS (2009 RENOVATION); ROBERT B. BALTER CO (1971),NR,5,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.2941,39.4149
VA03324,LAKE CAROLINE DAM,2010-04-15,2013-03-12,TOE INK SWAMP / STEVENS MILL RUN,PENOLA,CAROLINE,VA,VA01,ROBERT J. WITTMAN (R),R,PRIVATE,LAKE CAROLINE PROPERTY OWNERS ASSOC.,1968,,N,HIGH,Y,Y,Y,Y,48,8265,1425,,9.6,AMERICAN REALTY ASSOC.,Y,0,Y,DCR,,,,,,,VA,,0,-77.5133,38.0058
VA18702,LAKE JOHN DAM,2003-06-16,2013-03-12,MOLLY BOOTH RUN,NONE,WARREN,VA,VA06,BOB GOODLATTE (R),R,PRIVATE,MARK PETER LYNCH,1962,,N,LOW,Y,Y,Y,Y,28,235,335,1750,4.22,,Y,0,Y,DCR,17048,,USDA NRCS,,,,VA,,0,-78.265,38.9816
MD00072,LAKE MERLE,2012-11-01,2013-02-04,TR-LINGANORE CREEK,FREDERICK JUNCTION,FREDERICK,MD,MD08,CHRIS VAN HOLLEN (D),D,PRIVATE,LAKE LINGANORE ASSOCIATION,1971,"1998,H",N,SIGNIFICANT,Y,Y,Y,Y,43.64,303,400,1500,0.6,BALTER (ORIG); GREENHORNE & O'MARA(REPAIR),Y,3,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.302,39.4226
MD00056,LAKE NIRVANA DAM,2012-09-05,2013-02-04,TR-MUDDY BRANCH,TOBYTOWN,MONTGOMERY,MD,MD06,JOHN K. DELANEY (D),D,LOCAL GOVERNMENT,CITY OF GAITHERSBURG,1967,1967,N,SIGNIFICANT,Y,Y,Y,Y,29,104,825,215,0.4,"MILLS, PETTICORD & MILLS",Y,3,Y,MD DAM SAFETY,,,,,,,MD,,0,-77.239,39.1143
